epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2384.47,1.24588,2.6613,1.56135,0.5119,0.31709,0.30664,0.18414,1.51411,3.05967,2.06468,0.000295425,0.000295425,0.000295425
2,4553.43,1.30482,1.9094,1.57784,0.60281,0.24539,0.19948,0.11104,1.69123,3.86565,2.42312,0.000580472,0.000580472,0.000580472
3,6580.69,1.39357,1.89864,1.68465,0.34622,0.14897,0.1025,0.0528,2.15048,3.28025,2.66784,0.000847339,0.000847339,0.000847339
4,8668.72,1.4005,1.92561,1.67683,0.35868,0.13074,0.12645,0.06918,2.13834,6.48483,2.70657,0.00082719,0.00082719,0.00082719
5,10762.6,1.36278,1.80067,1.63932,0.51223,0.14774,0.16141,0.08366,1.84103,3.12516,2.35542,0.00079992,0.00079992,0.00079992
6,12836.2,1.36783,1.84211,1.66491,0.41314,0.25302,0.2319,0.11617,1.86295,2.69958,2.4958,0.00077265,0.00077265,0.00077265
7,14907.3,1.33875,1.71448,1.64976,0.35299,0.35813,0.25625,0.14862,1.72531,2.49765,2.34947,0.00074538,0.00074538,0.00074538
8,17230.1,1.30968,1.65822,1.62079,0.52413,0.38899,0.29162,0.17456,1.59203,2.40259,2.04882,0.00071811,0.00071811,0.00071811
9,19345,1.23789,1.60626,1.55924,0.4475,0.37668,0.33242,0.18153,1.72363,2.22711,2.12042,0.00069084,0.00069084,0.00069084
10,21493,1.25564,1.60702,1.59472,0.4044,0.43514,0.37511,0.19482,1.53731,1.954,2.02077,0.00066357,0.00066357,0.00066357
11,23609.2,1.21643,1.53891,1.54643,0.5362,0.34184,0.36886,0.21491,1.63267,1.968,2.04705,0.0006363,0.0006363,0.0006363
12,25765.2,1.17746,1.45932,1.51582,0.68187,0.43965,0.50938,0.29982,1.48113,1.80728,2.01528,0.00060903,0.00060903,0.00060903
13,27841.2,1.18731,1.46881,1.52972,0.53738,0.48481,0.46677,0.26405,1.48848,1.81085,1.93777,0.00058176,0.00058176,0.00058176
14,29909.8,1.16873,1.42806,1.51569,0.53737,0.4866,0.45271,0.27853,1.4815,1.74564,1.92102,0.00055449,0.00055449,0.00055449
15,32043.8,1.13073,1.36402,1.47733,0.56399,0.48622,0.46068,0.28888,1.46498,1.61209,1.89762,0.00052722,0.00052722,0.00052722
16,34178.9,1.14498,1.36629,1.48612,0.44983,0.42329,0.44083,0.25394,1.47605,1.86979,1.98298,0.00049995,0.00049995,0.00049995
17,36388.7,1.11756,1.29682,1.4655,0.49068,0.51862,0.49376,0.31682,1.32303,1.76469,1.81554,0.00047268,0.00047268,0.00047268
18,38527.6,1.08493,1.26334,1.45354,0.57239,0.54556,0.53559,0.33649,1.35789,1.61394,1.81235,0.00044541,0.00044541,0.00044541
19,40645.5,1.07822,1.25708,1.44801,0.69539,0.54687,0.59579,0.36806,1.3269,1.49975,1.81973,0.00041814,0.00041814,0.00041814
20,42715.3,1.07563,1.20118,1.45137,0.68016,0.55742,0.6217,0.37629,1.29924,1.42066,1.74386,0.00039087,0.00039087,0.00039087
21,44734.9,1.05493,1.15901,1.52035,0.71228,0.5571,0.5794,0.37369,1.25293,1.43285,1.72489,0.0003636,0.0003636,0.0003636
22,46721.6,1.04707,1.08559,1.50915,0.71473,0.5495,0.61229,0.39902,1.31763,1.4624,1.78589,0.00033633,0.00033633,0.00033633
23,48722.8,1,1.04726,1.47053,0.71625,0.57958,0.61067,0.39582,1.27826,1.36373,1.73983,0.00030906,0.00030906,0.00030906
24,50679.5,0.95401,0.97484,1.41016,0.71778,0.5871,0.63936,0.42703,1.26249,1.37206,1.76473,0.00028179,0.00028179,0.00028179
25,52639.6,0.95434,0.96883,1.451,0.79585,0.57542,0.66159,0.43637,1.21333,1.28168,1.71647,0.00025452,0.00025452,0.00025452
26,54574,0.90961,0.92421,1.40983,0.79764,0.63009,0.69543,0.45773,1.22045,1.2426,1.71167,0.00022725,0.00022725,0.00022725
27,56515.7,0.90616,0.89668,1.38152,0.73473,0.6339,0.66801,0.4509,1.21993,1.22918,1.69558,0.00019998,0.00019998,0.00019998
28,58485.2,0.87273,0.85535,1.3542,0.74207,0.61253,0.64259,0.445,1.1866,1.26077,1.66464,0.00017271,0.00017271,0.00017271
29,60448,0.85946,0.83212,1.3715,0.79986,0.60728,0.67444,0.46327,1.18118,1.2654,1.66768,0.00014544,0.00014544,0.00014544
30,62416.6,0.84885,0.79162,1.35351,0.72629,0.65879,0.6815,0.47287,1.16808,1.21181,1.65627,0.00011817,0.00011817,0.00011817
